title,company_profile,description,requirements,benefits,fraudulent
Work From Home - Earn $5000/week,,We are offering a lucrative home-based job. Earn money by liking Facebook posts and sharing links. Daily payment guaranteed. No experience needed. Register now and pay activation fee to get your login credentials.,Willing to work from home. No degree required. Need to invest a small refundable deposit to start. Immediate starters preferred.,,1
Online Data Entry - No Experience,,Make money online from the comfort of your home. No skills needed. We guarantee daily payments. Just register now by paying a small security deposit. Earn $200-$500 per day doing simple online tasks. 100% legitimate! Act now!,Anyone can apply. Age 18+. No qualifications needed. Just need internet connection. Pay small joining fee to activate account.,Earn while you sleep. Passive income. No investment limit. Referral bonuses up to $1000 per person.,1
Data Analyst,Established company with a strong track record in the industry.,"We are looking for an experienced professional to join our team. The ideal candidate will have strong analytical skills and the ability to work collaboratively. Responsibilities include developing solutions, collaborating with cross-functional teams, and delivering high-quality results. We offer competitive salary, health benefits, and career growth opportunities.","Bachelor's degree in Computer Science or related field. 3+ years of experience. Strong problem-solving skills. Proficiency in Python, Java, or similar languages. Excellent communication skills.","Health insurance, dental, vision. 401k with company match. Flexible working hours. Remote work options. Annual performance bonus. Professional development budget.",0
Full Stack Developer,Established company with a strong track record in the industry.,"Join our growing company as a key team member. You will be responsible for managing projects, coordinating with stakeholders, and ensuring timely delivery. The role requires excellent communication skills and relevant industry experience. We provide a supportive work environment with opportunities for professional development.",Minimum 2 years of relevant experience. Strong analytical and organizational skills. Proficiency in MS Office or Google Workspace. Ability to work independently and in a team.,Medical and dental coverage. Stock options. Learning and development allowance. Team retreats and company events.,0
HR Manager,Established company with a strong track record in the industry.,"Our company is hiring a motivated professional to lead key initiatives. You'll collaborate with engineering, design, and business teams to deliver impactful outcomes. Proficiency in relevant tools and technologies is required. Benefits include flexible hours, remote work options, and professional training.","Bachelor's degree in Computer Science or related field. 3+ years of experience. Strong problem-solving skills. Proficiency in Python, Java, or similar languages. Excellent communication skills.","Health insurance, dental, vision. 401k with company match. Flexible working hours. Remote work options. Annual performance bonus. Professional development budget.",0
Sales Executive,Established company with a strong track record in the industry.,"Our company is hiring a motivated professional to lead key initiatives. You'll collaborate with engineering, design, and business teams to deliver impactful outcomes. Proficiency in relevant tools and technologies is required. Benefits include flexible hours, remote work options, and professional training.",Bachelor's degree required. Experience with project management tools. Strong written and verbal communication. Attention to detail and ability to meet deadlines.,"Health insurance, dental, vision. 401k with company match. Flexible working hours. Remote work options. Annual performance bonus. Professional development budget.",0
Graphic Designer,Established company with a strong track record in the industry.,"Our company is hiring a motivated professional to lead key initiatives. You'll collaborate with engineering, design, and business teams to deliver impactful outcomes. Proficiency in relevant tools and technologies is required. Benefits include flexible hours, remote work options, and professional training.",Technical background with hands-on experience. Familiarity with agile methodologies. Excellent presentation and collaboration skills.,"Competitive salary and benefits package. Paid time off, sick leave, and holidays. Employee wellness programs. Career advancement opportunities.",0
Network Administrator,Established company with a strong track record in the industry.,"We are seeking a talented individual to contribute to our mission. The position involves working closely with senior leadership, analyzing data, and generating insights. A bachelor's degree and 2+ years of relevant experience are required. We offer full benefits including medical, dental, and 401k.",Minimum 2 years of relevant experience. Strong analytical and organizational skills. Proficiency in MS Office or Google Workspace. Ability to work independently and in a team.,"Competitive salary and benefits package. Paid time off, sick leave, and holidays. Employee wellness programs. Career advancement opportunities.",0
Network Administrator,Established company with a strong track record in the industry.,"Our company is hiring a motivated professional to lead key initiatives. You'll collaborate with engineering, design, and business teams to deliver impactful outcomes. Proficiency in relevant tools and technologies is required. Benefits include flexible hours, remote work options, and professional training.",Bachelor's degree required. Experience with project management tools. Strong written and verbal communication. Attention to detail and ability to meet deadlines.,"Health insurance, dental, vision. 401k with company match. Flexible working hours. Remote work options. Annual performance bonus. Professional development budget.",0
Sales Executive,Established company with a strong track record in the industry.,"Join our growing company as a key team member. You will be responsible for managing projects, coordinating with stakeholders, and ensuring timely delivery. The role requires excellent communication skills and relevant industry experience. We provide a supportive work environment with opportunities for professional development.",MBA or equivalent degree preferred. 5+ years of industry experience. Leadership skills and ability to manage teams. Strategic thinking and business acumen.,"Health insurance, dental, vision. 401k with company match. Flexible working hours. Remote work options. Annual performance bonus. Professional development budget.",0
